SEED	BIGG	KEGG	byocyc	name
rxn05184_c0	NULL	NULL	NULL	Choline ABC transport_c0
rxn03014_c0	NULL	R04339	META:1.5.1.25-RXN.c.metaexp.NAD_NADH	thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase_c0
rxn00020_c0	NULL	['R06092', 'R00026']	NULL	cellobiose glucohydrolase_c0
rxn02835_c0	['PRAMPC', 'HIS4_2']	R04037	['META:HISTCYCLOHYD-RXN.d', 'META:HISTCYCLOHYD-RXN', 'META:HISTCYCLOHYD-RXN.c']	1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase_c0
rxn03440_c0	NULL	R05076	NULL	R05076_c0
rxn04385_c0	THRPD	R06530	['META:4.1.1.81-RXN', 'META:4.1.1.81-RXN.c']	L-threonine-O-3-phosphate carboxy-lyase_c0
rxn03861_c0	NULL	R05576	['META:RXN-5901.c', 'META:RXN-5901']	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0
rxn05351_c0	['FAS1_6_2', 'ETR1_6']	R04967	NULL	Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing)_c0
rxn02353_c0	NULL	R03288	['META:X-METHYL-HIS-DIPEPTIDASE-RXN.c', 'META:X-METHYL-HIS-DIPEPTIDASE-RXN']	beta-Alanyl-N(pai)-methyl-L-histidine hydrolase_c0
rxn00324_c0	['GLYCLTDyr', 'GLYCLTDy']	R00465	['META:GLYOXYLATE-REDUCTASE-NADP+-RXN.c', 'META:GLYOXYLATE-REDUCTASE-NADP+-RXN']	glycolate:NADP+ oxidoreductase_c0
rxn04033_c0	NULL	R05783	META:3.5.1.86-RXN.c	mandelamide hydrolase_c0
rxn03289_c0	NULL	R04812	NULL	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase_c0
rxn03536_c0	['ADOCBIK', 'ADCOBAK']	R05221	['META:COBINAMIDEKIN-RXN.c', 'META:COBINAMIDEKIN-RXN']	R05221_c0
rxn14003_c0	NULL	['R04422', 'R02996', 'R07480', 'R06183', 'R00124', 'R04168', 'R08679', 'R02121', 'R03852', 'R04193']	['META:3.4.22.63-RXN.c', 'META:RXN-16435', 'META:RXN-18770', 'META:RXN-12386', 'META:RXN-18392', 'META:PGLYCEROLTRANSII-RXN.c', 'META:3.4.22.54-RXN.c', 'META:ARYLSULFATE-SULFOTRANSFERASE-RXN.c', 'META:RXN-12950.c', 'META:3.4.22.60-RXN.c', 'META:3.4.22.61-RXN.c', 'META:TRANS-RXN-239', 'META:RXN-14808', 'META:2.4.1.161-RXN', 'META:DEXTRIN-DEXTRANASE-RXN', 'META:NUCLEOSIDE-RIBOSYLTRANSFERASE-RXN.c', 'META:RXN-18707', 'META:RXN-18709', 'META:RXN-8315.c', 'META:DISULISOM-RXN', 'META:RXN-12950', 'META:RXN-19525', 'META:PGLYCEROLTRANSII-RXN.p', 'META:RXN-12947.c', 'META:3.4.22.57-RXN.c', 'META:3.4.22.64-RXN.c', 'META:3.4.22.65-RXN.c', 'META:ALDOSE-BETA-FRUCTOSYLTRANSFERASE-RXN', 'META:RXN-18705', 'META:TRANS-RXN-374', 'META:DEXTRIN-DEXTRANASE-RXN.c', 'META:3.4.22.62-RXN.c', 'META:RXN-12949.c', 'META:TRANS-RXN-373', 'META:RXN-12948.c', 'META:RXN-14753', 'META:RXN-12386.v', 'META:RXN-13572', 'META:3.4.22.56-RXN.c', 'META:3.4.22.58-RXN.c', 'META:3.4.22.59-RXN.c', 'META:RXN-13070.c', 'META:3.4.22.55-RXN.c', 'META:RXN-13705', 'META:NUCLEOSIDE-RIBOSYLTRANSFERASE-RXN', 'META:RXN-18704', 'META:RXN-12947', 'META:RXN-17355', 'META:2.4.1.100-RXN', 'META:ARYLSULFATE-SULFOTRANSFERASE-RXN', 'META:2.4.1.161-RXN.c', 'META:RXN-12386.c', 'META:ALDOSE-BETA-FRUCTOSYLTRANSFERASE-RXN.c', 'META:2.4.1.100-RXN.c', 'META:NUCLEOSIDE-DIP-KIN-RXN.c.metaexp.ADP_ATP', 'META:RXN-14409', 'META:RXN-14693', 'META:RXN-12949', 'META:RXN-14500', 'META:NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN.c', 'META:RXN0-5305.c.metaexp.CPD0-1108', 'META:NUCLEOSIDE-DIP-KIN-RXN.n.metaexp.ADP_ATP', 'META:RXN-16434', 'META:RXN-14747', 'META:RXN-14850', 'META:NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN', 'META:PGLYCEROLTRANSII-RXN', 'META:RXN-12948']	ATP:ADP phosphatransferase_c0
rxn01575_c0	['BAT1_2', 'BAT2_1', 'ILETAm', 'ILETA']	R02199	['META:BRANCHED-CHAINAMINOTRANSFERILEU-RXN', 'META:BRANCHED-CHAINAMINOTRANSFERILEU-RXN.m', 'META:BRANCHED-CHAINAMINOTRANSFERILEU-RXN.c']	L-Isoleucine:2-oxoglutarate aminotransferase_c0
rxn05150_c0	['ZNabc', 'ZNabcpp', 'ZN2abc2']	NULL	META:ABC-63-RXN	zinc transport via ABC system_c0
rxn10335_c0	NULL	NULL	NULL	myristoyl-cardiolipin synthase_c0
rxn02009_c0	['UAAGLS1', 'UAAGLS2']	R02786	META:6.3.2.7-RXN.c	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase (ADP-forming)_c0
rxn01868_c0	BETALDHy	R02566	NULL	p-Cumic alcohol:NADP+ oxidoreductase_c0
rxn03240_c0	['ECOAH7', 'ECOAH7p']	R04738	META:RXN-14272	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase_c0
rxn09562_c0	['GUK1_3', 'GK2']	NULL	NULL	Guanylate kinase_c0
rxn05359_c0	NULL	NULL	NULL	4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn06098_c0	NULL	R02114	NULL	Phosphatidylcholine:sterol O-acyltransferase_c0
rxn10277_c0	NULL	NULL	NULL	isopentadecanoyl-UDP-glucosyltransferase (diglucosyl)_c0
rxn00555_c0	['GF6PTA', 'GFA1', 'GF6PTAr']	R00768	NULL	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)_c0
rxn03282_c0	NULL	R04805	NULL	R04805_c0
rxn03435_c0	NULL	R05068	NULL	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)_c0
rxn05159_c0	['CHLabcpp', 'CHLabc']	NULL	NULL	choline transport via ABC system_c0
rxn03080_c0	RIB5	R04457	['META:LUMAZINESYN-RXN.c', 'META:LUMAZINESYN-RXN']	5-amino-6-(D-ribitylamino)uracil butanedionetransferase_c0
rxn10237_c0	NULL	NULL	NULL	isohexadecanoyl-phosphatidylserine decarboxylase_c0
rxn01044_c0	XYLI1	R01432	META:XYLISOM-RXN	D-xylose aldose-ketose-isomerase_c0
rxn10011_c0	ACOAD3	NULL	NULL	acyl-CoA dehydrogenase (octanoyl-CoA)_c0
rxn00143_c0	AHCYSNS	R00194	['META:ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN', 'META:ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN.c']	S-Adenosyl-L-homocysteine homocysteinylribohydrolase_c0
rxn12644_c0	MEAMP1(ala-thr)	NULL	NULL	methionyl aminopeptidase_c0
rxn01505_c0	['ACGAMPM', 'PCM1_1']	R08193	META:PHOSACETYLGLUCOSAMINEMUT-RXN.c	N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase_c0
rxn00849_c0	ALATA_D	R01148	['META:D-ALANINE-AMINOTRANSFERASE-RXN', 'META:D-ALANINE-AMINOTRANSFERASE-RXN.c']	D-Alanine:2-oxoglutarate aminotransferase_c0
rxn00737_c0	['CHA1_1', 'ILV1']	R00996	META:THREDEHYD-RXN.c	L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0
rxn01259_c0	NULL	NULL	NULL	Isomaltose 6-alpha-D-glucanohydrolase_c0
rxn04723_c0	NULL	R06914	NULL	R06914_c0
rxn01256_c0	['CH or M', 'ARO7', 'CHORM']	R01715	['META:CHORISMATEMUT-RXN', 'META:CHORISMATEMUT-RXN.c', 'META:CHORISMATEMUT-RXN.d']	Chorismate pyruvatemutase_c0
rxn00213_c0	['YHL012W', 'GALUi', 'UGP1', 'GALU']	R00289	['META:RXN-11988.c.metaexp.CPD-12575_UTP', 'META:GLUC1PURIDYLTRANS-RXN', 'META:GLUC1PURIDYLTRANS-RXN.c.metaexp.CPD-12575', 'META:RXN-11505.c.metaexp.CPD-12575_GLC-1-P']	UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0
rxn03040_c0	['5CMHMISO', 'R04379']	R04379	['META:5.3.3.10-RXN.c', 'META:5.3.3.10-RXN']	5-Carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase_c0
rxn01629_c0	['G1SATi', 'G1SAT']	R02272	['META:GSAAMINOTRANS-RXN', 'META:GSAAMINOTRANS-RXN.c']	(S)-4-Amino-5-oxopentanoate 4,5-aminomutase_c0
rxn00777_c0	NULL	R01056	['META:RIB5PISOM-RXN.c', 'META:RIB5PISOM-RXN']	D-ribose-5-phosphate aldose-ketose-isomerase_c0
rxn13784_c0	NULL	NULL	NULL	RNA transcription_c0
rxn01740_c0	['SHK3Dr', 'SHK3D', 'ARO1_3']	R02413	['META:SHIKIMATE-5-DEHYDROGENASE-RXN.c', 'META:RXN-7968.c.metaexp.NADP_NADPH', 'META:SHIKIMATE-5-DEHYDROGENASE-RXN.d']	Shikimate:NADP+ 3-oxidoreductase_c0
rxn05533_c0	DIPEPabc1	NULL	META:3.6.3.23-RXN.ce.metaexp.CPD-13404_CPD-13404	oligopeptide-transporting ATPase_c0
rxn00190_c0	['NADS2', 'NADS2i']	R00257	['META:NAD-SYNTH-GLN-RXN.c', 'META:NAD-SYNTH-GLN-RXN']	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)_c0
rxn05327_c0	['DEMAT4', 'EAR100x']	R04961	NULL	Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)_c0
rxn04841_c0	NULL	R07035	NULL	Glutathione: 15-HPETE oxidoreductase_c0
rxn01013_c0	HPYRRy	R01392	['META:RXN0-300.c', 'META:HYDROXYPYRUVATE-REDUCTASE-RXN.c.metaexp.NADP_NADPH', 'META:RXN0-300']	D-Glycerate:NADP+ 2-oxidoreductase_c0
rxn02728_c0	NULL	R03868	['META:MALEYLPYRUVATE-ISOMERASE-RXN', 'META:MALEYLPYRUVATE-ISOMERASE-RXN.c']	3-Maleylpyruvate cis-trans-isomerase_c0
rxn05948_c0	NULL	R01258	NULL	L-amino-aicd:NAD+ oxidoreductase (deaminating)_c0
rxn05655_c0	['SUCpts', 'SUCptspp']	NULL	NULL	sucrose transport via PEP:Pyr PTS_c0
rxn02314_c0	NULL	R03236	['META:TAGAKIN-RXN.c', 'META:TAGAKIN-RXN']	ATP:D-tagatose-6-phosphate 1-phosphotransferase_c0
rxn02275_c0	['YMR293C', 'AMD2_1']	R03180	META:GUANIDINOBUTANAMIDE-NH3-RXN.c	4-Guanidinobutanamide amidohydrolase_c0
rxn05244_c0	['BAP3_2', 'TAT1_1', 'ILEt2rpp', 'AGP1_6', 'GAP1_10', 'BAP2_2', 'ILEt2', 'ILEt7', 'VAP1_3', 'ILEt2r']	NULL	NULL	TRANS-RXNBWI-115637.ce.maizeexp.ILE_c0
rxn00503_c0	['P5CD', 'P5CDm', 'U41']	R00707	['META:RXN-11632.c.metaexp.NAD_NADH', 'META:PYRROLINECARBDEHYDROG-RXN.m', 'META:PYRROLINECARBDEHYDROG-RXN', 'META:PYRROLINECARBDEHYDROG-RXN.c']	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase_c0
rxn04043_c0	PFK (adp)	R05805	NULL	ADP:D-fructose-6-phosphate 1-phosphotransferase_c0
rxn00139_c0	['ADPT', 'APT1', 'APT2']	R00190	['META:ADENPRIBOSYLTRAN-RXN', 'META:ADENPRIBOSYLTRAN-RXN.c']	AMP:diphosphate phospho-D-ribosyltransferase_c0
rxn07261_c0	NULL	R07384	NULL	R07384_c0
rxn00790_c0	['GLUPRT', 'ADE4']	R01072	['META:PRPPAMIDOTRANS-RXN', 'META:PRPPAMIDOTRANS-RXN.c']	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_c0
rxn10285_c0	NULL	NULL	NULL	isotetradecanoyl-UDP-glucosyltransferase (monoglucosyl)_c0
rxn02936_c0	NULL	R04206	NULL	3-Phospho-D-erythronate hydro-lyase_c0
rxn03910_c0	MECDPS	R05637	['META:RXN0-302.c', 'META:RXN0-302']	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)_c0
rxn00237_c0	['NDPK1', 'YNK1_8']	R00330	['META:GDPKIN-RXN.c', 'META:GDPKIN-RXN.n', 'META:NUCLEOSIDE-DIP-KIN-RXN.n.metaexp.GDP_GTP', 'META:GDPKIN-RXN', 'META:NUCLEOSIDE-DIP-KIN-RXN.c.metaexp.GDP_GTP']	ATP:GDP phosphotransferase_c0
rxn07100_c0	NULL	R06364	NULL	CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase_c0
rxn10342_c0	NULL	NULL	NULL	isohexadecanoyl-cardiolipin synthase_c0
rxn03540_c0	['ADCYRS', 'ADCOBHEXS']	R05225	['META:R345-RXN.c', 'META:R345-RXN']	R05225_c0
rxn08086_c0	AGPAT160	NULL	NULL	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)_c0
rxn08311_c0	DASYN180	NULL	NULL	CDP-diacylglycerol synthetase (n-C18:0)_c0
rxn03175_c0	['PRMICI', 'PRMICIi']	R04640	['META:PRIBFAICARPISOM-RXN.d', 'META:PRIBFAICARPISOM-RXN.c', 'META:PRIBFAICARPISOM-RXN']	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0
rxn10264_c0	NULL	NULL	NULL	isohexadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0
rxn01920_c0	NULL	R02657	NULL	R02657_c0
rxn03421_c0	NULL	R05048	NULL	2,5-Diaminopyrimidine nucleoside triphosphate mutase_c0
rxn10227_c0	NULL	NULL	NULL	anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0
rxn01146_c0	['TMDPP', 'PNP1_2']	R01570	META:THYM-PHOSPH-RXN	thymidine:phosphate deoxy-alpha-D-ribosyltransferase_c0
rxn05336_c0	['HHDR7', '3OAR160']	R04543	NULL	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0
rxn09210_c0	PSSA180	NULL	NULL	Phosphatidylserine syntase (n-C18:0)_c0
rxn01484_c0	['AGDC_r', 'AGDC']	R02059	['META:NAG6PDEACET-RXN', 'META:NAG6PDEACET-RXN.c']	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase_c0
rxn04712_c0	NULL	R06903	NULL	R06903_c0
rxn00285_c0	['SUCOASm', 'LSC2', 'SUCOAS', 'SUCOAS1m']	R00405	['META:SUCCCOASYN-RXN.c', 'META:SUCCCOASYN-RXN']	Succinate:CoA ligase (ADP-forming)_c0
rxn05371_c0	NULL	NULL	NULL	8-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn01717_c0	NULL	R02384	['META:TYRAMINE-N-METHYLTRANSFERASE-RXN.c', 'META:TYRAMINE-N-METHYLTRANSFERASE-RXN']	S-Adenosyl-L-methionine:tyramine N-methyltransferase_c0
rxn00182_c0	GDH2	R00243	['META:GLUTAMATE-DEHYDROGENASE-RXN.m', 'META:GLUTAMATE-DEHYDROGENASE-RXN.c', 'META:GLUTAMATE-DEHYDROGENASE-NADP+-RXN.c.metaexp.NAD_NADH']	L-glutamate:NAD+ oxidoreductase (deaminating)_c0
rxn05552_c0	ETHSO3abcpp	NULL	NULL	ethanesulfonate transport via ABC system_c0
rxn03211_c0	NULL	R04695	['META:1.5.1.27-RXN.c', 'META:1.5.1.27-RXN']	(R)-reticuline:NADP+ oxidoreductase_c0
rxn05567_c0	['GALTpts', 'GALTptspp']	NULL	NULL	Galactitol transport via PEP:Pyr PTS_c0
rxn02181_c0	NULL	R03045	['META:RXN-6383', 'META:RXN-6383.c']	3-Hydroxypropionyl-CoA hydro-lyase_c0
rxn00532_c0	NULL	R00740	['META:RXN-8963', 'META:RXN-8963.c']	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)_c0
rxn05172_c0	['TAURabcpp', 'TAURabc']	NULL	META:3.6.3.36-RXN.ce	ATP phosphohydrolase (taurine-importing)_c0
rxn01642_c0	IZPN	R02288	['META:IMIDAZOLONEPROPIONASE-RXN.c', 'META:IMIDAZOLONEPROPIONASE-RXN']	4-imidazolone-5-propanoate amidohydrolase_c0
rxn00132_c0	['NTD7pp', 'NTD7', 'U30']	R00183	['META:AMP-DEPHOSPHORYLATION-RXN.c', 'META:AMP-DEPHOSPHORYLATION-RXN', 'META:5-NUCLEOTID-RXN.p.metaexp.ADENOSINE_AMP', 'META:5-NUCLEOTID-RXN.c.metaexp.ADENOSINE_AMP']	Adenosine 5'-monophosphate phosphohydrolase_c0
rxn01204_c0	['ABTAr', 'UGA1', 'ABTA']	R01648	['META:GABATRANSAM-RXN', 'META:GABATRANSAM-RXN.m', 'META:GABATRANSAM-RXN.c']	4-aminobutanoate:2-oxoglutarate aminotransferase_c0
rxn02917_c0	NULL	R04177	NULL	2-Hydroxyethylenedicarboxylate hydro-lyase_c0
rxn00003_c0	ILV2_2	R00006	NULL	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)_c0
rxn01045_c0	NULL	R01434	META:RXN-13184.c	L-Valine:NAD+ oxidoreductase(deaminating)_c0
rxn04052_c0	['CPC8MM', 'COPRECI']	R05814	NULL	R05814_c0
rxn06864_c0	NULL	R05145	NULL	Biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming)_c0
rxn07622_c0	NULL	R07831	['META:R6-RXN', 'META:R6-RXN.c']	R07831_c0
rxn02819_c0	NULL	R04013	['META:2.1.1.99-RXN.c', 'META:2.1.1.99-RXN', 'META:2.1.1.99-RXN.d']	S-Adenosyl-L-methionine:16-methoxy-2,3-dihydro-3-hydroxytabersonine N-methyltransferase_c0
rxn00712_c0	NULL	R00967	NULL	UTP:uridine 5'-phosphotransferase_c0
rxn01479_c0	['MUQ1', 'PETHCT']	R02038	['META:2.7.7.14-RXN.m', 'META:2.7.7.14-RXN.c', 'META:2.7.7.14-RXN', 'META:2.7.7.14-RXN.r']	CTP:ethanolamine-phosphate cytidylyltransferase_c0
rxn12850_c0	NULL	NULL	NULL	Gly-Phe ABC transporters_c0
rxn00126_c0	['METAT', 'SAM2', 'SAM1']	R00177	['META:S-ADENMETSYN-RXN', 'META:S-ADENMETSYN-RXN.c']	ATP:L-methionine S-adenosyltransferase_c0
rxn01518_c0	['U15', 'DURIK1']	R02099	['META:DURIDKI-RXN', 'META:DURIDKI-RXN.c']	ATP:deoxyuridine 5'-phosphotransferase_c0
rxn00719_c0	NULL	R00977	['META:DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN.c', 'META:DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN']	5,6-Dihydrouracil:NAD+ oxidoreductase_c0
rxn01278_c0	5DGLCNR	R01740	META:GLUCONATE-5-DEHYDROGENASE-RXN.c.metaexp.NADP_NADPH	D-Gluconate:NADP+ 5-oxidoreductase_c0
rxn01015_c0	HPYRI	R01394	['META:RXN0-305.c', 'META:RXN0-305']	hydroxypyruvate aldose-ketose-isomerase_c0
rxn12844_c0	NULL	NULL	NULL	Gly-Cys aminopeptidase_c0
rxn10216_c0	NULL	NULL	NULL	isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0
rxn06905_c0	NULL	R05363	NULL	R05363_c0
rxn05175_c0	['SPMDabc', 'SPMDabcpp']	NULL	META:ABC-24-RXN	spermidine transport via ABC system_c0
rxn09244_c0	SELCYSS	R08219	NULL	selenophosphate:L-seryl-tRNASec selenium transferase_c0
rxn04987_c0	NULL	R07208	NULL	24-Hydroxycholesterol,NADPH:oxygen oxidoreductase(7alpha-hydroxylating)_c0
rxn00058_c0	NULL	R00081	NULL	Ferrocytochrome-c:oxygen oxidoreductase_c0
rxn08306_c0	DASYN120	NULL	NULL	CDP-diacylglycerol synthetase (n-C12:0)_c0
rxn01883_c0	2DOXG6PP	R02587	['META:3.1.3.68-RXN.c', 'META:3.1.3.68-RXN']	2-Deoxy-D-glucose 6-phosphate phosphohydrolase_c0
rxn05303_c0	['ARGt2', 'ARGt2r', 'GAP1_3', 'CAN1_1', 'ALP1', 'ARGt2m']	NULL	NULL	TRANS-RXNBWI-115637.ce.maizeexp.ARG_c0
rxn00206_c0	['SODr', 'SOD', 'SODe', 'SPODMpp', 'SPODM']	R00275	['META:SUPEROX-DISMUT-RXN.c', 'META:SUPEROX-DISMUT-RXN.m', 'META:SUPEROX-DISMUT-RXN.x', 'META:SUPEROX-DISMUT-RXN.d', 'META:SUPEROX-DISMUT-RXN', 'META:SUPEROX-DISMUT-RXN.p']	superoxide:superoxide oxidoreductase_c0
rxn11755_c0	NULL	R08227	NULL	5,6-dihydro-5-fluorouracil amidohydrolase_c0
rxn01871_c0	['PDHbr', 'LAT1']	R02569	META:DIHYDLIPACETRANS-RXN.c	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase_c0
rxn05340_c0	['3OAR120', 'HDDR5']	R04964	['META:RXN-9532.c', 'META:RXN-9532']	(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0
rxn00405_c0	['ARGDCpp', 'ARGDC']	R00566	['META:ARGDECARBOX-RXN.c', 'META:ARGDECARBOX-RXN.p', 'META:ARGDECARBOX-RXN']	L-arginine carboxy-lyase (agmatine-forming)_c0
rxn04704_c0	CPPPGO2	R06895	['META:HEMN-RXN.c', 'META:HEMN-RXN']	coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating)_c0
rxn01169_c0	GLK1_3	R01600	META:GLUCOKIN-RXN.c	ATP:beta-D-glucose 6-phosphotransferase_c0
rxn14301_c0	NULL	R01686	NULL	L-arginine:taurine amidinotransferase_c0
rxn00299_c0	['FOL2', 'GTPCI']	R00424	['META:GTP-CYCLOHYDRO-I-RXN.c', 'META:GTP-CYCLOHYDRO-I-RXN']	GTP 7,8-8,9-dihydrolase_c0
rxn08546_c0	G3PAT120	NULL	NULL	glycerol-3-phosphate acyltransferase (C12:0)_c0
rxn12013_c0	NULL	R07180	NULL	thiol-containing-reductant:hydroperoxide oxidoreductase_c0
rxn06181_c0	NULL	R02584	NULL	ATP:[protein]-L-tyrosine O-phosphotransferase_c0
rxn05389_c0	NULL	NULL	NULL	7-methyl-3-oxo-octanoyl-ACP:NADP+ oxidoreductase_c0
rxn08900_c0	MDH2	NULL	['META:MALATE-DEHYDROGENASE-ACCEPTOR-RXN.c.metaexp.CPD-9956_UBIQUINONE-8', 'META:MALATE-DEHYDROGENASE-ACCEPTOR-RXN.e.metaexp.CPD-9956_UBIQUINONE-8']	FAD-dependent malate dehydrogenase_c0
rxn04737_c0	NULL	R06928	NULL	R06928_c0
rxn00082_c0	NULL	NULL	NULL	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase_c0
rxn02366_c0	['HMPCCDO', 'DHPDO', 'R03303']	R03303	['META:1.13.11.15-RXN.c', 'META:1.13.11.15-RXN']	3,4-Dihydroxyphenylacetate:oxygen 2,3-oxidoreductase (decyclizing)_c0
rxn03659_c0	NULL	R05358	META:R309-RXN.c	Acrylonitrile aminohydrolase_c0
rxn05735_c0	NULL	NULL	NULL	aldehyde dehydrogenase (aminoacetaldehyde, NAD)_c0
rxn03921_c0	NULL	R05649	NULL	R05649_c0
rxn12153_c0	NULL	R08510	['META:RXN-8982.c', 'META:RXN-8982']	R08510_c0
rxn01008_c0	GLCURE	R01385	['META:UDP-GLUCURONATE-4-EPIMERASE-RXN', 'META:UDP-GLUCURONATE-4-EPIMERASE-RXN.c']	UDP-glucuronate 4-epimerase_c0
rxn06734_c0	NULL	R04582	NULL	Biotin:apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]_c0
rxn02484_c0	['THI21', 'THI22', 'HMPK1', 'THI20_1']	R03471	['META:OHMETPYRKIN-RXN', 'META:OHMETPYRKIN-RXN.c']	ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase_c0
rxn02916_c0	AOXHEXCYCL	R04175	['META:RXN-8172.c', 'META:RXN-8172']	R04175_c0
rxn03618_c0	NULL	R05307	NULL	formaldehyde:NAD+ oxidoreductase (mycothiol-formylating)_c0
rxn12639_c0	MEAMP1(ala-gln)	NULL	['META:RXN0-6976.c', 'META:RXN0-6976']	RXN0-6976.c_c0
rxn01000_c0	['PPNDH', 'PHA2']	R01373	['META:PREPHENATEDEHYDRAT-RXN', 'META:PREPHENATEDEHYDRAT-RXN.c']	"prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming)_c0"
rxn00363_c0	['NTD4', 'U29', 'NTD4pp']	R00511	['META:RXN-14026', 'META:5-NUCLEOTID-RXN.c.metaexp.CMP_CYTIDINE', 'META:5-NUCLEOTID-RXN.p.metaexp.CMP_CYTIDINE']	Cytidine-5'-monophosphate phosphohydrolase_c0
rxn05188_c0	['FERRICHabc', 'FECRMabcpp']	NULL	META:TRANS-RXN-298	ferrichrome transport via ABC system_c0
rxn01972_c0	ADPDA	R02733	['META:N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN.c', 'META:N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN']	N6-Acetyl-LL-2,6-diaminoheptanedioate amidohydrolase_c0
rxn01281_c0	NULL	R01747	META:TSA-REDUCT-RXN.c.metaexp.NADP_NADPH	(R)-Glycerate:NADP+ oxidoreductase_c0
rxn01670_c0	['NMNR', 'NIRP']	R02323	['META:RXN-5841.p', 'META:RXN-5841.c', 'META:RXN-5841']	Nicotinamide ribonucleotide phosphohydrolase_c0
rxn12643_c0	MEAMP1(ala-leu)	NULL	['META:RXN0-6979.c', 'META:RXN0-6979']	RXN0-6979.c_c0
rxn05183_c0	['METDabcpp', 'METDabc']	NULL	META:TRANS-RXN0-202	D-methionine transport via ABC system_c0
rxn01706_c0	NULL	R02372	NULL	dUTP:cytidine 5'-phosphotransferase_c0
rxn01904_c0	NULL	R02615	NULL	Styrene-oxide isomerase_c0
rxn03055_c0	['CMCMSAD', '5CM2HMSDH', 'R04418']	R04418	['META:CHMS-DEHYDROGENASE-RXN', 'META:CHMS-DEHYDROGENASE-RXN.c']	5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase_c0
rxn11703_c0	NULL	R08166	['META:RXN-9310.d', 'META:RXN-9310', 'META:RXN-9310.c']	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase_c0
rxn01300_c0	['THR1', 'HSK']	R01771	['META:HOMOSERKIN-RXN', 'META:HOMOSERKIN-RXN.d', 'META:HOMOSERKIN-RXN.c']	ATP:L-homoserine O-phosphotransferase_c0
rxn02363_c0	NULL	R03299	NULL	3-Hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)_c0
